id,synset1,depth1,sentence1,synset2,depth2,sentence2,specific
1,Synset('sprinkle.n.02'),11,baptized with a sprinkling of holy water,Synset('watering.n.02'),10,the lawn needs a great deal of watering,0
2,Synset('sensation.n.01'),8,a sensation of touch,Synset('taste.n.01'),9,the candy left him with a bad taste,1
3,Synset('topographic_point.n.01'),6,this is a nice place for a picnic,Synset('dead_drop.n.01'),9,a dead drop avoids the need for an intelligence officer and a spy to be present at the same time,1
4,Synset('street.n.05'),8,the whole street protested the absence of street lights,Synset('neighborhood.n.02'),7,it is a friendly neighborhood,0
5,Synset('acknowledgment.n.03'),5,she must have seen him but she gave no sign of acknowledgment,Synset('hello.n.01'),7,every morning they exchanged polite hellos,1
6,Synset('details.n.01'),6,after the trial he gave us the real details,Synset('dope.n.04'),7,is that the straight dope?,1
7,Synset('consciousness.n.01'),8,he lost consciousness,Synset('awareness.n.02'),9,the crash intruded on his awareness,1
8,Synset('overlap.n.01'),7,there was no overlap between their proposals,Synset('crossroads.n.03'),8,Freud's work stands at the crossroads between psychology and neurology,1
9,Synset('ice_age.n.01'),7,the most recent ice age was during the Pleistocene,Synset('period.n.04'),6,ganoid fishes swarmed during the earlier geological periods,0
10,Synset('note.n.02'),11,drop me a line when you get there,Synset('excuse.n.02'),12,he had to get his mother to write an excuse for him,1
11,Synset('blaze.n.01'),10,the blaze spread rapidly,Synset('fire.n.03'),9,fire was one of our ancestors' first discoveries,0
12,Synset('acceleration.n.01'),7,modern science caused an acceleration of cultural change,Synset('precipitation.n.05'),8,he is responsible for the precipitation of his own demise,1
13,Synset('reason.n.01'),6,the reason that war was declared,Synset('motivation.n.01'),4,we did not understand his motivation,0
14,Synset('gratification.n.01'),8,dull repetitious work gives no gratification,Synset('quality_of_life.n.01'),9,the new art museum is expected to improve the quality of life,1
15,Synset('scenario.n.02'),9,the scenario is France during the Reign of Terror,Synset('setting.n.01'),8,the perfect setting for a ghost story,0
16,Synset('reputation.n.03'),8,he acquired a reputation as an actor before he started writing,Synset('estimate.n.05'),7,they had a high estimation of his ability,0
17,Synset('military_action.n.01'),7,he saw action in Korea,Synset('battle.n.01'),8,Grant won a decisive victory in the battle of Chickamauga,1
18,Synset('playback.n.01'),12,he was allowed to hear the playback of his testimony,Synset('reproduction.n.04'),10,Gutenberg's reproduction of holy texts was far more efficient,0
19,Synset('channel.n.05'),7,it must go through official channels,Synset('liaison.n.02'),8,he provided a liaison with the guerrillas,1
20,Synset('seasonal_adjustment.n.01'),11,seasonal adjustments for housing starts must be made in mid-winter,Synset('allowance.n.03'),10,an allowance for profit,0
21,Synset('effect.n.03'),8,he just did it for effect,Synset('impression.n.01'),7,his impression of her was favorable,0
22,Synset('sincerity.n.02'),9,his sincerity inspired belief,Synset('singleness.n.01'),10,the singleness of his motives could not be questioned,1
23,Synset('sight.n.02'),5,he was a familiar sight on the television,Synset('spectacle.n.01'),6,the tragic spectacle of cripples trying to escape,1
24,Synset('latitude.n.02'),7,the new freedom in movies and novels,Synset('liberty.n.02'),6,liberty of opinion,0
25,Synset('differentiation.n.01'),8,it is necessary to make a distinction between love and infatuation,Synset('contradistinction.n.01'),9,sculpture in contradistinction to painting,1
26,Synset('ruggedness.n.02'),7,the ruggedness of the mountains,Synset('hilliness.n.01'),8,the hilliness of West Virginia,1
27,Synset('shock_wave.n.01'),8,the explosion created a shock wave,Synset('sonic_boom.n.01'),9,a sonic boom follows an aircraft as a wake follows a ship,1
28,Synset('sense.n.02'),6,the dictionary gave several senses for the word,Synset('meaning.n.01'),5,what is the meaning of this sentence,0
29,Synset('shove.n.01'),8,he gave the door a shove,Synset('elbowing.n.01'),10,elbowing is a foul in basketball,1
30,Synset('tablet.n.03'),8,a tablet of soap,Synset('cake.n.01'),7,a bar of chocolate,0
31,Synset('bunker_mentality.n.01'),8,after so many suicide bombings the Israelis have to resist developing a bunker mentality,Synset('defensiveness.n.01'),7,his defensiveness was manifested in hurt silence,0
32,Synset('exoticism.n.01'),6,he loved the exoticism of Egypt,Synset('foreignness.n.01'),5,the strangeness of a foreigner,0
33,Synset('electric_shock.n.01'),12,they used cattle prods to administer electric shocks,Synset('torture.n.05'),11,it required unnatural torturing to extract a confession,0
34,Synset('brush.n.09'),9,I had a brush with danger on my way to work,Synset('contact.n.01'),8,they kept in daily contact,0
35,Synset('imperativeness.n.02'),9,he pressed his demand with considerable instancy,Synset('urgency.n.02'),8,the urgency of his need,0
36,Synset('pile.n.03'),8,she made a bundle selling real estate,Synset('money.n.02'),7,all his money is in real estate,0
37,Synset('survivor_guilt.n.01'),10,survivor guilt was first noted in those who survived the Holocaust,Synset('sorrow.n.02'),7,he drank to drown his sorrows,0
38,Synset('beggar-my-neighbor_policy.n.01'),10,the United States has pursued a beggar-my-neighbor policy,Synset('policy.n.01'),9,it was a policy of retribution,0
39,Synset('non-euclidean_geometry.n.01'),12,non-Euclidean geometries discard or replace one or more of the Euclidean axioms,Synset('hyperbolic_geometry.n.01'),13,Karl Gauss pioneered hyperbolic geometry,1
40,Synset('nickel.n.03'),11,a nickel bag of drugs,Synset('bill.n.03'),9,he peeled off five one-thousand-zloty notes,0
41,Synset('reproach.n.01'),8,words of reproach,Synset('blame.n.02'),9,he took the blame for it,1
42,Synset('regard.n.06'),7,she mistook his manly regard for love,Synset('affection.n.01'),6,he had trouble expressing the affection he felt,0
43,Synset('embodiment.n.01'),9,the embodiment of hope,Synset('personification.n.01'),8,she is the personification of optimism,0
44,Synset('landscaping.n.02'),10,they spent a great deal of money on the landscaping,Synset('plot.n.02'),8,a bean plot,0
45,Synset('integer.n.01'),6,an integer is a number that is not a fraction,Synset('quadrillion.n.01'),8,in England they call a septillion a quadrillion,1
46,Synset('fad.n.01'),11,he always follows the latest fads,Synset('vogue.n.01'),9,leather is the latest vogue,0
47,Synset('spill.n.04'),10,he had a nasty spill on the ice,Synset('slip.n.07'),9,he blamed his slip on the ice,0
48,Synset('nerve_center.n.01'),9,the nerve center of the diamond industry is in Amsterdam,Synset('center.n.11'),8,they received messages from several centers,0
49,Synset('attachment.n.05'),9,attachment to a formal agenda,Synset('ecclesiasticism.n.01'),10,their ecclesiasticism overwhelmed their religion,1
50,Synset('promise.n.02'),8,there is little or no promise that he will recover,Synset('rainbow.n.02'),9,chasing rainbows,1
51,Synset('fever_pitch.n.01'),10,the crowd was at fever pitch,Synset('excitement.n.02'),9,his face was flushed with excitement and his hands trembled,0
52,Synset('wound.n.03'),8,he feared that mentioning it might reopen the wound,Synset('distress.n.01'),7,the death of his wife caused him great distress,0
53,Synset('secret.n.02'),6,the secret of Cajun cooking,Synset('password.n.01'),8,he forgot the password,1
54,Synset('door.n.03'),11,we closed the door to Haitian immigrants,Synset('open_door.n.02'),12,he maintained an open door for all employees,1
55,Synset('colony.n.01'),6,the American colony in Paris,Synset('plantation.n.02'),7,the practice of sending convicted criminals to serve on the Plantations was common in the 17th century,1
56,Synset('enticement.n.03'),8,his enticements were shameless,Synset('ingratiation.n.01'),10,she refused to use insinuation in order to gain favor,1
57,Synset('sermon.n.02'),9,your preaching is wasted on him,Synset('rebuke.n.01'),7,he had to take the rebuke with a smile on his face,0
58,Synset('starter.n.07'),7,to make sourdough you need a starter,Synset('culture.n.04'),6,the culture of cells in a Petri dish,0
59,Synset('immobilization.n.02'),9,the storm caused complete immobilization of the rescue team,Synset('restraint.n.01'),8,the unlawful restraint of trade,0
60,Synset('idea.n.03'),8,he has an idea that we don't like him,Synset('opinion.n.01'),7,my opinion differs from yours,0
61,Synset('squeeze.n.01'),10,he gave her cheek a playful squeeze,Synset('expression.n.09'),11,the expression of milk from her breast,1
62,Synset('hug.n.01'),11,come here and give me a big hug,Synset('clasp.n.02'),9,he released his clasp on my arm,0
63,Synset('degree.n.01'),5,a moderate grade of intelligence,Synset('foulness.n.03'),8,they were wearied with the foulness of the weather,1
